FILE ID,Media Link,Notes,File Type,Raw Creation Data,Duration,Raw Metadata
EFTA00029997,https://www.justice.gov/epstein/files/DataSet%208/EFTA00029997.mp4,Prison CCTV day of death,mp4,2019-09-18 19:43,00:17.8,"  Metadata:
    major_brand     : mp42
    minor_version   : 0
    compatible_brands: mp41isom
    creation_time   : 2019-09-18T19:43:34.000000Z
  Duration: 00:00:17.80, start: 0.000000, bitrate: 2128 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (Baseline) (avc1 / 0x31637661), yuv420p(progressive), 352x240, 2124 kb/s, 120 fps, 120 tbr, 30k tbn (default)
    Metadata:
      creation_time   : 2019-09-18T19:43:34.000000Z
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
      encoder         : AVC Coding"
EFTA00029998,https://www.justice.gov/epstein/files/DataSet%208/EFTA00029998.mp4,Prison CCTV,mp4,2019-09-18 19:41,00:18.9,"  Metadata:
    major_brand     : mp42
    minor_version   : 0
    compatible_brands: mp41isom
    creation_time   : 2019-09-18T19:41:58.000000Z
  Duration: 00:00:18.90, start: 0.000000, bitrate: 2365 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (Baseline) (avc1 / 0x31637661), yuv420p(progressive), 352x240, 2361 kb/s, 120 fps, 120 tbr, 30k tbn (default)
    Metadata:
      creation_time   : 2019-09-18T19:41:58.000000Z
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
      encoder         : AVC Coding"
EFTA00032989,https://www.justice.gov/epstein/files/DataSet%208/EFTA00032989.mp4,Prison CCTV day before death,mp4,,00:25.0,"  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.20.100
  Duration: 01:00:25.00, start: 0.000000, bitrate: 50 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (High) (avc1 / 0x31637661), yuv420p(progressive), 352x240, 46 kb/s, SAR 1:1 DAR 22:15, 4 fps, 4 tbr, 16384 tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, stereo, s16, 2 kb/s (default)
    Metadata:
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]"
EFTA00032990,https://www.justice.gov/epstein/files/DataSet%208/EFTA00032990.mp4,Prison CCTV day before death,mp4,,00:25.0,"  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.20.100
  Duration: 01:00:25.00, start: 0.000000, bitrate: 50 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (High) (avc1 / 0x31637661), yuv420p(progressive), 352x240, 45 kb/s, SAR 1:1 DAR 22:15, 4 fps, 4 tbr, 16384 tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, stereo, s16, 2 kb/s (default)
    Metadata:
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]"
EFTA00032991,https://www.justice.gov/epstein/files/DataSet%208/EFTA00032991.mp4,Prison CCTV day before death,mp4,,00:25.0,"  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.20.100
  Duration: 01:00:25.00, start: 0.000000, bitrate: 49 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (High) (avc1 / 0x31637661), yuv420p(progressive), 352x240, 44 kb/s, SAR 1:1 DAR 22:15, 4 fps, 4 tbr, 16384 tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, stereo, s16, 2 kb/s (default)
    Metadata:
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]"
EFTA00033003,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033003.mp4,Prison CCTV,mp4,,00:25.0,"  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.20.100
  Duration: 01:00:25.00, start: 0.000000, bitrate: 34 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (High) (avc1 / 0x31637661), yuv420p(progressive), 352x240, 29 kb/s, SAR 1:1 DAR 22:15, 4 fps, 4 tbr, 16384 tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, stereo, s16, 2 kb/s (default)
    Metadata:
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]"
EFTA00033004,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033004.mp4,Prison CCTV,mp4,,00:25.0,"  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.20.100
  Duration: 01:00:25.00, start: 0.000000, bitrate: 33 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (High) (avc1 / 0x31637661), yuv420p(progressive), 352x240, 29 kb/s, SAR 1:1 DAR 22:15, 4 fps, 4 tbr, 16384 tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, stereo, s16, 2 kb/s (default)
    Metadata:
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]"
EFTA00033005,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033005.mp4,Prison CCTV,mp4,,59:22.5,"  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.20.100
  Duration: 00:59:22.50, start: 0.000000, bitrate: 33 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (High) (avc1 / 0x31637661), yuv420p(progressive), 352x240, 29 kb/s, SAR 1:1 DAR 22:15, 4 fps, 4 tbr, 16384 tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, stereo, s16, 2 kb/s (default)
    Metadata:
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]"
EFTA00033006,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033006.mp4,Prison CCTV,mp4,,00:25.0,"  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.20.100
  Duration: 01:00:25.00, start: 0.000000, bitrate: 34 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (High) (avc1 / 0x31637661), yuv420p(progressive), 352x240, 30 kb/s, SAR 1:1 DAR 22:15, 4 fps, 4 tbr, 16384 tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, stereo, s16, 2 kb/s (default)
    Metadata:
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]"
EFTA00033007,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033007.mp4,Prison CCTV,mp4,,59:22.5,"  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.20.100
  Duration: 00:59:22.50, start: 0.000000, bitrate: 35 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (High) (avc1 / 0x31637661), yuv420p(progressive), 352x240, 31 kb/s, SAR 1:1 DAR 22:15, 4 fps, 4 tbr, 16384 tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, stereo, s16, 2 kb/s (default)
    Metadata:
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]"
