FILE ID,Original File & Data Set,Media Link,Notes,File Type,Raw Creation Data,Creation Date & Time,Duration,Coordinates,Street,City,Country,Has Media Link,Has Notes,Has Created Date,Raw Metadata
EFTA01683533,EFTA01683533.pdf - DataSet 10,justice.gov/epstein/files/DataSet 10/EFTA01683533.mp4,"0:39, selfie video of young blond female, appears very thin, Lana Del Rey song 'Cherry' playing in background.",mp4,,,00:00:39.51,,,,,checked,checked,,"  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.76.100
  Duration: 00:00:39.51, start: 0.000000, bitrate: 490 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (High) (avc1 / 0x31637661), yuv420p(progressive), 488x960, 413 kb/s, 30 fps, 30 tbr, 15360 tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, mono, s16, 69 kb/s (default)
    Metadata:
      handler_name    : Core Media Audio
      vendor_id       : [0][0][0][0]"
EFTA01683388,EFTA01683388.pdf - DataSet 10,justice.gov/epstein/files/DataSet 10/EFTA01683388.mp4,"0:02, appears to be on island, outdoor furniture under tiki hut roof, legs of young person seen sitting on left, various beverages seen on table.",mp4,,,00:00:02.80,,,,,checked,checked,,"  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.76.100
  Duration: 00:00:02.80, start: 0.000000, bitrate: 2312 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (High) (avc1 / 0x31637661), yuv420p(progressive), 1080x1440, 2232 kb/s, 30 fps, 30 tbr, 15360 tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, mono, s16, 70 kb/s (default)
    Metadata:
      handler_name    : Core Media Audio
      vendor_id       : [0][0][0][0]"
EFTA01683465,EFTA01683465.pdf - DataSet 10,justice.gov/epstein/files/DataSet 10/EFTA01683465.mp4,"0:02, redacted almost fully, unable to make out setting.",mp4,2026-01-27 22:30,2026-01-28 05:30,00:00:02.62,,,,,checked,checked,checked,"  Metadata:
    major_brand     : mp42
    minor_version   : 0
    compatible_brands: mp41isom
    creation_time   : 2026-01-27T22:30:14.000000Z
  Duration: 00:00:02.62, start: 0.000000, bitrate: 702 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (Main) (avc1 / 0x31637661), yuv420p(progressive), 1080x1440, 634 kb/s, 17.23 fps, 17 tbr, 17k tbn (default)
    Metadata:
      creation_time   : 2026-01-27T22:30:14.000000Z
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
      encoder         : AVC Coding
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (mp4a / 0x6134706D), 44100 Hz, 1 channels, s16, 65 kb/s (default)
    Metadata:
      creation_time   : 2026-01-27T22:30:14.000000Z
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]"
EFTA01683403,EFTA01683403.pdf - DataSet 10,justice.gov/epstein/files/DataSet 10/EFTA01683403.mp4,"Flyer for www.RadiantEcstasy.com, 'Advanced Certified Tantra Educator, Orgasmic Meditation Trainer, Reiki Master', website is down now but Archive shows Lauren Harkness located in NY https://web.archive.org/web/20221207232505/http://radiantecstasy.com/",mp4,,,00:00:02.81,,,,,checked,checked,,"  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.76.100
  Duration: 00:00:02.81, start: 0.000000, bitrate: 776 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (High) (avc1 / 0x31637661), yuv420p(progressive), 960x720, 700 kb/s, 29 fps, 29 tbr, 14848 tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, mono, s16, 69 kb/s (default)
    Metadata:
      handler_name    : Core Media Audio
      vendor_id       : [0][0][0][0]"
EFTA01683397,EFTA01683397.pdf - DataSet 10,justice.gov/epstein/files/DataSet 10/EFTA01683397.mp4,"0:02, no sound, appears to be public outdoors, only legs and feet of tanned females visible",mp4,2026-01-27 18:20,2026-01-28 01:20,00:00:02.89,,,,,checked,checked,checked,"  Metadata:
    major_brand     : mp42
    minor_version   : 0
    compatible_brands: mp41isom
    creation_time   : 2026-01-27T18:20:01.000000Z
  Duration: 00:00:02.89, start: 0.000000, bitrate: 2960 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (Main) (avc1 / 0x31637661), yuv420p(progressive), 1080x1440, 2953 kb/s, 29.05 fps, 29 tbr, 29k tbn (default)
    Metadata:
      creation_time   : 2026-01-27T18:20:01.000000Z
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
      encoder         : AVC Coding
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (mp4a / 0x6134706D), 44100 Hz, 1 channels, s16, 1 kb/s (default)
    Metadata:
      creation_time   : 2026-01-27T18:20:01.000000Z
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]"
EFTA01683479,EFTA01683479.pdf - DataSet 10,justice.gov/epstein/files/DataSet 10/EFTA01683479.mp4,"0:31, outdoors, no sound, almost fully redacted. Black male seen passing by on left, appears to be in public. Silver SVU/possibly Range Rover seen briefly in background",mp4,,,00:00:31.37,,,,,checked,checked,,"  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.76.100
  Duration: 00:00:31.37, start: 0.000000, bitrate: 291 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (High) (avc1 / 0x31637661), yuv420p(progressive), 1280x720, 282 kb/s, 30 fps, 30 tbr, 15360 tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, mono, s16, 1 kb/s (default)
    Metadata:
      handler_name    : Core Media Audio
      vendor_id       : [0][0][0][0]"
EFTA01683441,EFTA01683441.pdf - DataSet 10,justice.gov/epstein/files/DataSet 10/EFTA01683441.mp4,"0:01, possibly NY property library? Pale wood paneling and orange leather tiles seen on walls",mp4,2026-01-27 22:24,2026-01-28 05:24,00:00:01.83,,,,,checked,checked,checked,"  Metadata:
    major_brand     : mp42
    minor_version   : 0
    compatible_brands: mp41isom
    creation_time   : 2026-01-27T22:24:56.000000Z
  Duration: 00:00:01.83, start: 0.000000, bitrate: 2660 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (Main) (avc1 / 0x31637661), yuv420p(progressive), 1080x1440, 2597 kb/s, 26.27 fps, 26 tbr, 26k tbn (default)
    Metadata:
      creation_time   : 2026-01-27T22:24:56.000000Z
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
      encoder         : AVC Coding
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (mp4a / 0x6134706D), 44100 Hz, 1 channels, s16, 65 kb/s (default)
    Metadata:
      creation_time   : 2026-01-27T22:24:56.000000Z
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]"
EFTA01683478,EFTA01683478.pdf - DataSet 10,justice.gov/epstein/files/DataSet 10/EFTA01683478.mp4,"Same female and setting as EFTA01683455, standing this time.",mp4,2026-01-27 22:34,2026-01-28 05:34,00:00:00.91,,,,,checked,checked,checked,"  Metadata:
    major_brand     : mp42
    minor_version   : 0
    compatible_brands: mp41isom
    creation_time   : 2026-01-27T22:34:03.000000Z
  Duration: 00:00:00.91, start: 0.000000, bitrate: 3133 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (Main) (avc1 / 0x31637661), yuv420p(progressive), 1080x1440, 3115 kb/s, 29.31 fps, 29 tbr, 29k tbn (default)
    Metadata:
      creation_time   : 2026-01-27T22:34:03.000000Z
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
      encoder         : AVC Coding
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (mp4a / 0x6134706D), 44100 Hz, 1 channels, s16, 67 kb/s (default)
    Metadata:
      creation_time   : 2026-01-27T22:34:03.000000Z
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]"
EFTA01683406,EFTA01683406.pdf - DataSet 10,justice.gov/epstein/files/DataSet 10/EFTA01683406.mp4,"0:08, very young female in jeans and croptop or torn shirt, with blanket or men's shirt around her shoulders, black fanny pack or bag of some kind seen across chest.",mp4,,,00:00:08.31,,,,,checked,checked,,"  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.76.100
  Duration: 00:00:08.31, start: 0.000000, bitrate: 139 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (High) (avc1 / 0x31637661), yuv420p(progressive), 320x568, 129 kb/s, 30 fps, 30 tbr, 15360 tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, mono, s16, 1 kb/s (default)
    Metadata:
      handler_name    : Core Media Audio
      vendor_id       : [0][0][0][0]"
EFTA01683393,EFTA01683393.pdf - DataSet 10,justice.gov/epstein/files/DataSet 10/EFTA01683393.mp4,"0:01, extremely thin, young female in jeans and cropped black top, pale wood paneling covers all visible background",mp4,2026-01-27 17:37,2026-01-28 00:37,00:00:01.95,,,,,checked,checked,checked,"  Metadata:
    major_brand     : mp42
    minor_version   : 0
    compatible_brands: mp41isom
    creation_time   : 2026-01-27T17:37:54.000000Z
  Duration: 00:00:01.95, start: 0.000000, bitrate: 3170 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (Main) (avc1 / 0x31637661), yuv420p(progressive), 1080x1440, 3067 kb/s, 20.01 fps, 20 tbr, 20k tbn (default)
    Metadata:
      creation_time   : 2026-01-27T17:37:54.000000Z
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
      encoder         : AVC Coding
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (mp4a / 0x6134706D), 44100 Hz, 1 channels, s16, 96 kb/s (default)
    Metadata:
      creation_time   : 2026-01-27T17:37:54.000000Z
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]"
